"object_id";"colonne";"valeur"
"24";"fichier_source";"C:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13569-INFO-EMP-LINKEDIN-FR-1647106383.html"
"24";"fichier_cible";"C:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13569-INFO-EMP-LINKEDIN-FR-1647106383.html"
"24";"date_ingestion";"2025-10-17 15:14:35"
"25";"fichier_source";"C:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13570-INFO-EMP-LINKEDIN-FR-1589595331.html"
"25";"fichier_cible";"C:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13570-INFO-EMP-LINKEDIN-FR-1589595331.html"
"25";"date_ingestion";"2025-10-17 15:14:35"
"26";"fichier_source";"C:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13571-INFO-EMP-LINKEDIN-FR-1583080186.html"
"26";"fichier_cible";"C:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13571-INFO-EMP-LINKEDIN-FR-1583080186.html"
"26";"date_ingestion";"2025-10-17 15:14:35"
"27";"fichier_source";"C:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13572-INFO-EMP-LINKEDIN-FR-1602644857.html"
"27";"fichier_cible";"C:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13572-INFO-EMP-LINKEDIN-FR-1602644857.html"
"27";"date_ingestion";"2025-10-17 15:14:35"
"28";"fichier_source";"C:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13573-INFO-EMP-LINKEDIN-FR-1602929951.html"
"28";"fichier_cible";"C:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13573-INFO-EMP-LINKEDIN-FR-1602929951.html"
"28";"date_ingestion";"2025-10-17 15:14:35"
"29";"fichier_source";"C:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13574-INFO-EMP-LINKEDIN-FR-1634138009.html"
"29";"fichier_cible";"C:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13574-INFO-EMP-LINKEDIN-FR-1634138009.html"
"29";"date_ingestion";"2025-10-17 15:14:35"
"30";"fichier_source";"C:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13575-INFO-EMP-LINKEDIN-FR-1647449074.html"
"30";"fichier_cible";"C:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13575-INFO-EMP-LINKEDIN-FR-1647449074.html"
"30";"date_ingestion";"2025-10-17 15:14:35"
"31";"fichier_source";"C:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13576-INFO-EMP-LINKEDIN-FR-1451979173.html"
"31";"fichier_cible";"C:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13576-INFO-EMP-LINKEDIN-FR-1451979173.html"
"31";"date_ingestion";"2025-10-17 15:14:35"
"32";"fichier_source";"C:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13577-INFO-EMP-LINKEDIN-FR-1646255443.html"
"32";"fichier_cible";"C:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13577-INFO-EMP-LINKEDIN-FR-1646255443.html"
"32";"date_ingestion";"2025-10-17 15:14:35"
"33";"fichier_source";"C:/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13578-INFO-EMP-LINKEDIN-FR-1637893990.html"
"33";"fichier_cible";"C:/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13578-INFO-EMP-LINKEDIN-FR-1637893990.html"
